DATE,PRCP,SNOW,TAVG,TMAX,TMIN
3/23/2018,0,0,38,42,35
3/24/2018,0.01,0,40,46,34
3/27/2018,0,0,35,42,28
3/28/2018,0.01,0,41,54,36
3/29/2018,0.01,0,43,50,37
3/30/2018,0.08,0,52,64,43
3/31/2018,0,0,47,57,39
4/1/2018,0,0,48,59,37
4/2/2018,0.11,0.7,37,40,31
4/3/2018,0.47,0,38,48,32
4/4/2018,0.2,0,44,58,39
4/5/2018,0,0,38,43,30
4/6/2018,0.21,0.6,34,43,29
4/7/2018,0.01,0,41,47,35
4/8/2018,0,0,37,42,32
4/9/2018,0,0,37,46,30
4/10/2018,0,0,38,41,35
4/11/2018,0,0,37,45,30
4/12/2018,0.06,0,43,55,36
4/13/2018,0,0,55,69,44
4/14/2018,0,0,47,52,38
4/15/2018,0.04,0,36,39,33
4/16/2018,1.57,0,40,53,36
4/17/2018,0,0,47,50,40
4/18/2018,0,0,44,53,36
4/19/2018,0.23,0,42,44,36
4/20/2018,0,0,44,53,36
4/21/2018,0,0,47,59,39
4/22/2018,0,0,51,62,42
4/23/2018,0,0,51,58,43
,,,,,
